49,19,1,49,49,53345922,-6254614,TOWNSEND STREET,22,2018-03-12T16:52:57.217000Z,20180312165313
50,2,19,50,50,53348300,-6266651,JERVIS STREET,40,2018-03-12T16:52:57.236000Z,20180312165313
51,13,27,51,51,53346603,-6296924,HEUSTON STATION (CENTRAL),93,2018-03-12T16:52:57.216000Z,20180312165313
52,3,27,52,52,53349562,-6278198,SMITHFIELD NORTH,42,2018-03-12T16:52:57.141000Z,20180312165313
53,19,21,53,53,53337757,-6267699,KEVIN STREET,71,2018-03-12T16:52:57.208000Z,20180312165313
54,16,24,54,54,53337132,-6260590,NEWMAN HOUSE,53,2018-03-12T16:52:57.200000Z,20180312165313
55,0,0,55,55,53345203,-6247163,SANDWITH STREET,64,2018-03-12T16:52:57.228000Z,20180312165313
56,12,28,56,56,53337960,-6241530,MOUNT STREET LOWER,56,2018-03-12T16:52:57.150000Z,20180312165313
57,16,24,57,57,53344115,-6237153,HANOVER QUAY,68,2018-03-12T16:52:57.164000Z,20180312165313
58,1,19,58,58,53343368,-6270120,CHRISTCHURCH PLACE,6,2018-03-12T16:52:57.151000Z,20180312165313
59,29,11,59,59,53339218,-6240642,SIR PATRICK DUN'S,58,2018-03-12T16:52:57.200000Z,20180312165313
60,37,3,60,60,53347932,-6240928,GUILD STREET,49,2018-03-12T16:52:57.191000Z,20180312165313
61,8,32,61,61,53339334,-6264699,YORK STREET WEST,51,2018-03-12T16:52:57.211000Z,20180312165313
62,5,15,62,62,53332763,-6257942,HARCOURT TERRACE,41,2018-03-12T16:52:57.233000Z,20180312165313
63,24,8,63,63,53338755,-6262003,YORK STREET EAST,52,2018-03-12T16:52:57.154000Z,20180312165313
64,32,8,64,64,53341359,-6292951,ST JAMES HOSPITAL (LUAS),80,2018-03-12T16:52:57.233000Z,20180312165313
65,4,29,65,65,53336021,-6262980,CLONMEL STREET,54,2018-03-12T16:52:57.148000Z,20180312165313
66,2,29,66,66,53343105,-6277167,JOHN STREET WEST,72,2018-03-12T16:52:57.178000Z,20180312165313
67,17,23,67,67,53343456,-6287409,JAMES STREET,75,2018-03-12T16:52:57.221000Z,20180312165313
68,2,36,68,68,53342296,-6287661,MARKET STREET SOUTH,76,2018-03-12T16:52:57.207000Z,20180312165313
69,8,32,69,69,53359967,-6264828,MATER HOSPITAL,78,2018-03-12T16:52:57.219000Z,20180312165313
70,39,1,70,70,53347440,-6238523,CONVENTION CENTRE,65,2018-03-12T16:52:57.222000Z,20180312165313
71,23,0,71,71,53349013,-6260311,PRINCES STREET / O'CONNELL STREET,33,2018-03-12T16:52:57.230000Z,20180312165313
72,1,28,72,72,53348875,-6267459,WOLFE TONE STREET,77,2018-03-12T16:52:57.188000Z,20180312165313
73,16,14,73,73,53343893,-6280531,OLIVER BOND STREET,74,2018-03-12T16:52:57.165000Z,20180312165313
74,22,18,74,74,53341655,-6236198,BARROW STREET,70,2018-03-12T16:52:57.237000Z,20180312165313
75,4,26,75,75,53334432,-6245575,HERBERT PLACE,19,2018-03-12T16:52:57.193000Z,20180312165313
76,24,16,76,76,53342638,-6238695,GRAND CANAL DOCK,69,2018-03-12T16:52:57.210000Z,20180312165313
77,2,18,77,77,53355610,-6261397,DENMARK STREET GREAT,59,2018-03-12T16:52:57.213000Z,20180312165313
78,16,14,78,78,53342081,-6275233,FRANCIS STREET,73,2018-03-12T16:52:57.189000Z,20180312165313
79,6,24,79,79,53359624,-6260348,NORTH CIRCULAR ROAD,60,2018-03-12T16:52:57.194000Z,20180312165313
80,36,4,80,80,53346867,-6230852,THE POINT,67,2018-03-12T16:52:57.183000Z,20180312165313
81,6,24,81,81,53341805,-6305085,KILMAINHAM LANE,96,2018-03-12T16:52:57.206000Z,20180312165313
82,0,20,82,82,53356769,-6268140,BLESSINGTON STREET,2,2018-03-12T16:52:57.220000Z,20180312165313
83,5,35,83,83,53343897,-6297060,ROYAL HOSPITAL,95,2018-03-12T16:52:57.214000Z,20180312165313
84,2,36,84,84,53347477,-6285250,COLLINS BARRACKS MUSEUM,87,2018-03-12T16:52:57.165000Z,20180312165313
85,4,26,85,85,53348800,-6281637,BLACKHALL PLACE,88,2018-03-12T16:52:57.242000Z,20180312165313
86,3,37,86,86,53342113,-6310015,KILMAINHAM GAOL,97,2018-03-12T16:52:57.186000Z,20180312165313
87,0,40,87,87,53346985,-6297804,HEUSTON STATION (CAR PARK),94,2018-03-12T16:52:57.215000Z,20180312165313
88,0,0,88,88,53344153,-6233451,BENSON STREET,90,2018-03-12T16:52:57.175000Z,20180312165313
89,21,9,89,89,53341515,-6256853,FREDERICK STREET SOUTH,98,2018-03-12T16:52:57.160000Z,20180312165313
90,18,12,90,90,53341833,-6231291,SOUTH DOCK ROAD,91,2018-03-12T16:52:57.180000Z,20180312165313
91,0,40,91,91,53339983,-6295594,ST. JAMES HOSPITAL (CENTRAL),81,2018-03-12T16:52:57.158000Z,20180312165313
92,2,38,92,92,53347802,-6292432,HEUSTON BRIDGE (NORTH),92,2018-03-12T16:52:57.240000Z,20180312165313
93,1,21,93,93,53341645,-6297190,MOUNT BROWN,82,2018-03-12T16:52:57.206000Z,20180312165313
94,0,30,94,94,53334123,-6265436,GRANTHAM STREET,18,2018-03-12T16:52:57.152000Z,20180312165313
95,21,2,95,95,53339629,-6243778,GRATTAN STREET,57,2018-03-12T16:52:57.232000Z,20180312165313
96,9,7,96,96,53355473,-6264423,HARDWICKE STREET,15,2018-03-12T16:52:57.223000Z,20180312165313
97,9,27,97,97,53334030,-6260714,HATCH STREET,55,2018-03-12T16:52:57.183000Z,20180312165313
98,5,15,98,98,53340803,-6267732,GOLDEN LANE,17,2018-03-12T16:52:57.176000Z,20180312165313
99,8,23,99,99,53340927,-6262501,CLARENDON ROW,1,2018-03-12T16:52:57.162000Z,20180312165313
0,35,0,0,0,53341428,-6246720,FENIAN STREET,63,2018-03-12T16:55:54.903000Z,20180312165813
1,28,2,1,1,53346637,-6246154,CITY QUAY,99,2018-03-12T16:55:54.905000Z,20180312165813
2,0,0,2,2,53335211,-6250900,FITZWILLIAM SQUARE EAST,89,2018-03-12T16:55:54.957000Z,20180312165813
3,7,23,3,3,53339005,-6300217,BROOKFIELD ROAD,84,2018-03-12T16:55:54.898000Z,20180312165813
4,2,38,4,4,53340714,-6308191,EMMET ROAD,83,2018-03-12T16:55:54.966000Z,20180312165813
5,5,30,5,5,53338776,-6303950,ROTHE ABBEY,85,2018-03-12T16:55:54.954000Z,20180312165813
6,1,29,6,6,53350291,-6273507,KING STREET NORTH,101,2018-03-12T16:55:54.923000Z,20180312165813
7,4,16,7,7,53346874,-6272976,GREEK STREET,4,2018-03-12T16:55:54.914000Z,20180312165813
8,6,34,8,8,53354929,-6269425,WESTERN WAY,102,2018-03-12T16:55:54.918000Z,20180312165813
9,24,16,9,9,53330662,-6260177,CHARLEMONT PLACE,5,2018-03-12T16:55:54.910000Z,20180312165813
10,12,26,10,10,53347972,-6291804,PARKGATE STREET,86,2018-03-12T16:55:54.949000Z,20180312165813
11,14,15,11,11,53343565,-6275071,HIGH STREET,7,2018-03-12T16:55:54.917000Z,20180312165813
12,11,14,12,12,53347106,-6292041,HEUSTON BRIDGE (SOUTH),100,2018-03-12T16:55:54.951000Z,20180312165813
13,20,10,13,13,53330362,-6265163,PORTOBELLO HARBOUR,34,2018-03-12T16:55:54.940000Z,20180312165813
14,3,24,14,14,53358115,-6265601,ECCLES STREET EAST,79,2018-03-12T16:55:54.930000Z,20180312165813
15,10,20,15,15,53339434,-6246548,MERRION SQUARE EAST,25,2018-03-12T16:55:54.931000Z,20180312165813
16,1,29,16,16,53347692,-6278214,SMITHFIELD,35,2018-03-12T16:55:54.950000Z,20180312165813
17,4,26,17,17,53330091,-6268044,PORTOBELLO ROAD,43,2018-03-12T16:55:54.890000Z,20180312165813
18,28,2,18,18,53347884,-6248048,CUSTOM HOUSE QUAY,8,2018-03-12T16:55:54.924000Z,20180312165813
19,19,1,19,19,53339764,-6251988,MERRION SQUARE WEST,26,2018-03-12T16:55:54.946000Z,20180312165813
20,5,20,20,20,53357043,-6263232,HARDWICKE PLACE,61,2018-03-12T16:55:54.912000Z,20180312165813
21,32,8,21,21,53337824,-6256035,ST. STEPHEN'S GREEN EAST,36,2018-03-12T16:55:54.936000Z,20180312165813
22,4,16,22,22,53341288,-6258117,MOLESWORTH STREET,27,2018-03-12T16:55:54.925000Z,20180312165813
23,4,26,23,23,53358437,-6260641,UPPER SHERRARD STREET,44,2018-03-12T16:55:54.956000Z,20180312165813
24,4,26,24,24,53356299,-6258586,MOUNTJOY SQUARE WEST,28,2018-03-12T16:55:54.964000Z,20180312165813
25,32,8,25,25,53346026,-6243576,LIME STREET,62,2018-03-12T16:55:54.909000Z,20180312165813
26,18,6,26,26,53343034,-6263578,EXCHEQUER STREET,9,2018-03-12T16:55:54.906000Z,20180312165813
27,8,21,27,27,53346057,-6268001,ORMOND QUAY UPPER,29,2018-03-12T16:55:54.963000Z,20180312165813
28,3,37,28,28,53347122,-6234749,NEW CENTRAL BANK,66,2018-03-12T16:55:54.922000Z,20180312165813
29,10,6,29,29,53344007,-6266802,DAME STREET,10,2018-03-12T16:55:54.951000Z,20180312165813
30,2,18,30,30,53353462,-6265305,PARNELL SQUARE NORTH,30,2018-03-12T16:55:54.881000Z,20180312165813
31,15,15,31,31,53351464,-6255265,DEVERELL PLACE,45,2018-03-12T16:55:54.902000Z,20180312165813
32,0,30,32,32,53334019,-6258371,EARLSFORT TERRACE,11,2018-03-12T16:55:54.900000Z,20180312165813
33,0,20,33,33,53351182,-6269859,BOLTON STREET,3,2018-03-12T16:55:54.960000Z,20180312165813
34,6,14,34,34,53359246,-6269779,ECCLES STREET,12,2018-03-12T16:55:54.939000Z,20180312165813
35,4,16,35,35,53352149,-6260533,CATHAL BRUGHA STREET,24,2018-03-12T16:55:54.952000Z,20180312165813
36,5,30,36,36,53347082,-6264192,STRAND STREET GREAT,46,2018-03-12T16:55:54.961000Z,20180312165813
37,13,17,37,37,53336074,-6252825,FITZWILLIAM SQUARE WEST,13,2018-03-12T16:55:54.889000Z,20180312165813
38,26,4,38,38,53344603,-6263371,FOWNES STREET UPPER,14,2018-03-12T16:55:54.893000Z,20180312165813
39,34,6,39,39,53335742,-6245510,HERBERT STREET,47,2018-03-12T16:55:54.924000Z,20180312165813
40,3,17,40,40,53350929,-6265125,PARNELL STREET,31,2018-03-12T16:55:54.891000Z,20180312165813
41,0,30,41,41,53337494,-6261990,ST. STEPHEN'S GREEN SOUTH,37,2018-03-12T16:55:54.933000Z,20180312165813
42,17,13,42,42,53344304,-6250427,PEARSE STREET,32,2018-03-12T16:55:54.886000Z,20180312165813
43,36,4,43,43,53347777,-6244239,EXCISE WALK,48,2018-03-12T16:55:54.888000Z,20180312165813
44,19,21,44,44,53350974,-6252940,TALBOT STREET,38,2018-03-12T16:55:54.919000Z,20180312165813
45,29,1,45,45,53348279,-6254662,CUSTOM HOUSE,23,2018-03-12T16:55:54.894000Z,20180312165813
46,11,9,46,46,53347508,-6252192,GEORGES QUAY,16,2018-03-12T16:55:54.926000Z,20180312165813
47,17,13,47,47,53342180,-6254485,LEINSTER STREET SOUTH,21,2018-03-12T16:55:54.967000Z,20180312165813
48,11,9,48,48,53332383,-6252717,WILTON TERRACE,39,2018-03-12T16:55:54.965000Z,20180312165813
49,19,1,49,49,53345922,-6254614,TOWNSEND STREET,22,2018-03-12T16:55:54.938000Z,20180312165813
50,2,19,50,50,53348300,-6266651,JERVIS STREET,40,2018-03-12T16:55:54.962000Z,20180312165813
51,16,24,51,51,53346603,-6296924,HEUSTON STATION (CENTRAL),93,2018-03-12T16:55:54.937000Z,20180312165813
52,3,27,52,52,53349562,-6278198,SMITHFIELD NORTH,42,2018-03-12T16:55:54.878000Z,20180312165813
53,20,20,53,53,53337757,-6267699,KEVIN STREET,71,2018-03-12T16:55:54.929000Z,20180312165813
54,16,24,54,54,53337132,-6260590,NEWMAN HOUSE,53,2018-03-12T16:55:54.920000Z,20180312165813
55,0,0,55,55,53345203,-6247163,SANDWITH STREET,64,2018-03-12T16:55:54.953000Z,20180312165813
56,8,32,56,56,53337960,-6241530,MOUNT STREET LOWER,56,2018-03-12T16:55:54.884000Z,20180312165813
57,12,28,57,57,53344115,-6237153,HANOVER QUAY,68,2018-03-12T16:55:54.895000Z,20180312165813
58,1,19,58,58,53343368,-6270120,CHRISTCHURCH PLACE,6,2018-03-12T16:55:54.885000Z,20180312165813
59,28,12,59,59,53339218,-6240642,SIR PATRICK DUN'S,58,2018-03-12T16:55:54.921000Z,20180312165813
60,38,2,60,60,53347932,-6240928,GUILD STREET,49,2018-03-12T16:55:54.915000Z,20180312165813
61,7,33,61,61,53339334,-6264699,YORK STREET WEST,51,2018-03-12T16:55:54.933000Z,20180312165813
62,5,15,62,62,53332763,-6257942,HARCOURT TERRACE,41,2018-03-12T16:55:54.959000Z,20180312165813
63,24,8,63,63,53338755,-6262003,YORK STREET EAST,52,2018-03-12T16:55:54.887000Z,20180312165813
64,33,7,64,64,53341359,-6292951,ST JAMES HOSPITAL (LUAS),80,2018-03-12T16:55:54.958000Z,20180312165813
65,4,29,65,65,53336021,-6262980,CLONMEL STREET,54,2018-03-12T16:55:54.883000Z,20180312165813
66,2,29,66,66,53343105,-6277167,JOHN STREET WEST,72,2018-03-12T16:55:54.902000Z,20180312165813
67,17,23,67,67,53343456,-6287409,JAMES STREET,75,2018-03-12T16:55:54.946000Z,20180312165813
68,2,36,68,68,53342296,-6287661,MARKET STREET SOUTH,76,2018-03-12T16:55:54.928000Z,20180312165813
69,8,32,69,69,53359967,-6264828,MATER HOSPITAL,78,2018-03-12T16:55:54.944000Z,20180312165813
70,37,3,70,70,53347440,-6238523,CONVENTION CENTRE,65,2018-03-12T16:55:54.947000Z,20180312165813
71,22,1,71,71,53349013,-6260311,PRINCES STREET / O'CONNELL STREET,33,2018-03-12T16:55:54.955000Z,20180312165813
72,0,29,72,72,53348875,-6267459,WOLFE TONE STREET,77,2018-03-12T16:55:54.913000Z,20180312165813
73,16,14,73,73,53343893,-6280531,OLIVER BOND STREET,74,2018-03-12T16:55:54.896000Z,20180312165813
74,23,17,74,74,53341655,-6236198,BARROW STREET,70,2018-03-12T16:55:54.963000Z,20180312165813
75,3,27,75,75,53334432,-6245575,HERBERT PLACE,19,2018-03-12T16:55:54.916000Z,20180312165813
76,24,16,76,76,53342638,-6238695,GRAND CANAL DOCK,69,2018-03-12T16:55:54.931000Z,20180312165813
