02/04/2018 12:24,Monday,12,70,Barrow Street,25
02/04/2018 13:24,Monday,13,70,Barrow Street,22
02/04/2018 14:24,Monday,14,60,Barrow Street,22
02/04/2018 15:24,Monday,15,60,Barrow Street,23
02/04/2018 16:24,Monday,16,60,Barrow Street,27
02/04/2018 17:24,Monday,17,50,Barrow Street,29
02/04/2018 18:24,Monday,18,40,Barrow Street,30
02/04/2018 19:24,Monday,19,0,Barrow Street,31
02/04/2018 20:24,Monday,20,0,Barrow Street,30
02/04/2018 21:24,Monday,21,40,Barrow Street,29
02/04/2018 22:24,Monday,22,50,Barrow Street,30
02/04/2018 23:24,Monday,23,60,Barrow Street,29
03/04/2018 06:24,Tuesday,6,0,Barrow Street,25
03/04/2018 07:24,Tuesday,7,20,Barrow Street,27
03/04/2018 08:24,Tuesday,8,20,Barrow Street,8
03/04/2018 09:24,Tuesday,9,0,Barrow Street,0
03/04/2018 10:24,Tuesday,10,0,Barrow Street,6
03/04/2018 11:24,Tuesday,11,0,Barrow Street,6
03/04/2018 12:24,Tuesday,12,30,Barrow Street,10
03/04/2018 13:24,Tuesday,13,40,Barrow Street,7
03/04/2018 14:24,Tuesday,14,20,Barrow Street,15
03/04/2018 15:24,Tuesday,15,20,Barrow Street,16
03/04/2018 16:24,Tuesday,16,30,Barrow Street,19
03/04/2018 17:24,Tuesday,17,0,Barrow Street,21
03/04/2018 18:24,Tuesday,18,0,Barrow Street,40
03/04/2018 19:24,Tuesday,19,0,Barrow Street,36
03/04/2018 20:24,Tuesday,20,0,Barrow Street,39
03/04/2018 21:24,Tuesday,21,0,Barrow Street,30
03/04/2018 22:24,Tuesday,22,0,Barrow Street,29
03/04/2018 23:24,Tuesday,23,0,Barrow Street,28
28/03/2018 06:24,Wednesday,6,20,Brookfield Road,1
28/03/2018 07:24,Wednesday,7,0,Brookfield Road,2
28/03/2018 08:24,Wednesday,8,0,Brookfield Road,2
28/03/2018 09:24,Wednesday,9,0,Brookfield Road,1
28/03/2018 10:24,Wednesday,10,0,Brookfield Road,0
28/03/2018 11:24,Wednesday,11,20,Brookfield Road,1
28/03/2018 12:24,Wednesday,12,0,Brookfield Road,2
28/03/2018 13:24,Wednesday,13,0,Brookfield Road,1
28/03/2018 14:24,Wednesday,14,0,Brookfield Road,0
28/03/2018 15:24,Wednesday,15,0,Brookfield Road,4
28/03/2018 16:24,Wednesday,16,30,Brookfield Road,9
28/03/2018 17:24,Wednesday,17,0,Brookfield Road,19
28/03/2018 18:24,Wednesday,18,0,Brookfield Road,25
28/03/2018 19:24,Wednesday,19,0,Brookfield Road,25
28/03/2018 20:24,Wednesday,20,30,Brookfield Road,27
28/03/2018 21:24,Wednesday,21,0,Brookfield Road,28
28/03/2018 22:24,Wednesday,22,0,Brookfield Road,30
28/03/2018 23:24,Wednesday,23,0,Brookfield Road,30
29/03/2018 06:24,Thursday,6,0,Brookfield Road,24
29/03/2018 07:24,Thursday,7,0,Brookfield Road,9
29/03/2018 08:24,Thursday,8,0,Brookfield Road,0
29/03/2018 09:24,Thursday,9,0,Brookfield Road,0
29/03/2018 10:24,Thursday,10,0,Brookfield Road,0
29/03/2018 11:24,Thursday,11,10,Brookfield Road,0
29/03/2018 12:24,Thursday,12,30,Brookfield Road,0
29/03/2018 13:24,Thursday,13,30,Brookfield Road,1
29/03/2018 14:24,Thursday,14,45,Brookfield Road,4
29/03/2018 15:24,Thursday,15,40,Brookfield Road,6
29/03/2018 16:24,Thursday,16,30,Brookfield Road,9
29/03/2018 17:24,Thursday,17,30,Brookfield Road,18
29/03/2018 18:24,Thursday,18,30,Brookfield Road,21
29/03/2018 19:24,Thursday,19,40,Brookfield Road,20
29/03/2018 20:24,Thursday,20,30,Brookfield Road,21
29/03/2018 21:24,Thursday,21,25,Brookfield Road,22
29/03/2018 22:24,Thursday,22,30,Brookfield Road,24
29/03/2018 23:24,Thursday,23,40,Brookfield Road,26
30/03/2018 06:24,Friday,6,0,Brookfield Road,24
30/03/2018 07:24,Friday,7,0,Brookfield Road,21
30/03/2018 08:24,Friday,8,0,Brookfield Road,13
30/03/2018 09:24,Friday,9,0,Brookfield Road,10
30/03/2018 10:24,Friday,10,20,Brookfield Road,8
30/03/2018 11:24,Friday,11,20,Brookfield Road,6
30/03/2018 12:24,Friday,12,20,Brookfield Road,5
